51557	4000	NE-01
68005	0001	NE-02
57523	9200	NE-03
03032	0001	NH-01
03031	0001	NH-02
08003	3602	NJ-01
08001	0001	NJ-02
08002	0011	NJ-03
07710	0001	NJ-04
07401	0001	NJ-05
07060	0501	NJ-06
07001	0001	NJ-07
07003	0001	NJ-08
07010	0001	NJ-09
07002	2100	NJ-10
07004	0001	NJ-11
07701	1352	NJ-12
07002	0001	NJ-13
87002	2801	NM-01
79835	6443	NM-02
87001	0250	NM-03
88901	5047	NV-01
89001	0001	NV-02
89002	0100	NV-03
00501	0001	NY-01
11701	1000	NY-02
11510	2967	NY-03
11001	1100	NY-04
11004	0001	NY-05
11001	1001	NY-06
10458	5143	NY-07
10001	0001	NY-08
11204	1302	NY-09
11201	0020	NY-10
11201	0401	NY-11
10002	0001	NY-12
10038	1903	NY-13
10001	2107	NY-14
10023	1600	NY-15
10024	5195	NY-16
10282	1025	NY-17
10502	0001	NY-18
10501	0001	NY-19
12010	6139	NY-20
12007	0001	NY-21
10045	1001	NY-22
12010	1827	NY-23
10045	1002	NY-24
13020	0001	NY-25
13457	0001	NY-26
10029	7402	NY-27
14008	0001	NY-28
14009	8901	NY-29
45001	0031	OH-01
45005	6322	OH-02
45005	0001	OH-03
43003	7000	OH-04
43302	9600	OH-05
43711	0001	OH-06
43009	8901	OH-07
45003	0001	OH-08
43016	9539	OH-09
44017	0001	OH-10
44022	1005	OH-11
43001	0001	OH-12
44011	0001	OH-13
44003	0001	OH-14
43007	0151	OH-15
44090	9500	OH-16
44062	9316	OH-17
43005	0001	OH-18
74003	1201	OK-01
71953	9201	OK-02
73001	0001	OK-03
73002	0001	OK-04
73003	0001	OK-05
97005	0001	OR-01
96044	9646	OR-02
97004	8634	OR-03
97321	0001	OR-04
97002	0001	OR-05
19013	1117	PA-01
19012	0001	PA-02
16001	0101	PA-03
15001	0001	PA-04
15711	0001	PA-05
17527	9002	PA-06
19003	0001	PA-07
18036	1701	PA-08
15401	0001	PA-09
16910	8801	PA-10
17756	6000	PA-11
15012	0001	PA-12
18054	2120	PA-13
15025	0001	PA-14
18001	7300	PA-15
17022	0001	PA-16
17003	0001	PA-17
15004	0001	PA-18
17001	0001	PA-19
00601	0001	PR-00
02801	0001	RI-01
02804	0001	RI-02
29401	1100	SC-01
29002	0001	SC-02
29006	1100	SC-03
29031	0001	SC-04
29009	0001	SC-05
29001	0101	SC-06
51001	7500	SD-00
37601	0200	TN-01
37303	1600	TN-02
30555	2743	TN-03
37018	0001	TN-04
37011	0001	TN-05
37010	0001	TN-06
35677	4235	TN-07
37015	9100	TN-08
37501	0001	TN-09
75140	6300	TX-01
77044	1056	TX-02
75002	1106	TX-03
75002	0600	TX-04
75032	6608	TX-05
75050	2434	TX-06
77002	5044	TX-07
75852	3676	TX-08
77004	6879	TX-09
73301	0001	TX-10
76432	0001	TX-11
76008	0001	TX-12
76066	3442	TX-13
77404	0001	TX-14
77412	0001	TX-15
79821	0002	TX-16
75852	0101	TX-17
77001	0001	TX-18
76351	0001	TX-19
78009	9520	TX-20
76849	7002	TX-21
77031	3707	TX-22
76943	0001	TX-23
75006	1300	TX-24
77434	0001	TX-25
75009	3594	TX-26
78330	0001	TX-27
78001	9997	TX-28
77003	1303	TX-29
75104	1101	TX-30
76401	0001	TX-31
75001	0001	TX-32
82930	4759	UT-01
84001	0001	UT-02
84005	2000	UT-03
20106	3400	VA-01
23301	0001	VA-02
23011	0001	VA-03
23002	0001	VA-04
22901	0600	VA-05
22626	0041	VA-06
20106	0001	VA-07
20170	2102	VA-08
24019	1505	VA-09
20101	9300	VA-10
20109	2410	VA-11
05001	0001	VT-00
98011	1500	WA-01
98019	8826	WA-02
98304	9700	WA-03
98068	0001	WA-04
83856	5018	WA-05
98305	0001	WA-06
98013	0001	WA-07
98002	0803	WA-08
98001	1000	WA-09
53101	0001	WI-01
53094	7722	WI-02
53503	0001	WI-03
53110	1001	WI-04
53002	0001	WI-05
53001	0001	WI-06
54001	1000	WI-07
54101	0011	WI-08
25267	0001	WV-01
20135	1718	WV-02
24701	0001	WV-03
57717	1020	WY-00
